TEAM,GAME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,ELO
7,46,33,76,0.434,3,17,0.176,20,26,0.769,13,22,35,17,9,3,20,24,1593
7,47,43,89,0.483,10,22,0.455,7,14,0.5,15,29,44,29,4,3,7,21,1596
7,48,38,85,0.447,8,15,0.533,8,12,0.667,13,25,38,25,7,3,10,18,1603
7,49,31,74,0.419,7,21,0.333,21,34,0.618,10,32,42,19,7,9,12,23,1585
7,50,39,85,0.459,10,23,0.435,17,22,0.773,11,25,36,24,7,4,9,28,1577
7,51,42,80,0.525,9,20,0.45,15,19,0.789,9,37,46,31,10,2,21,26,1568
7,52,43,86,0.5,3,12,0.25,15,22,0.682,8,22,30,20,7,4,5,20,1574
7,53,36,77,0.468,5,16,0.313,19,29,0.655,11,28,39,19,9,1,14,20,1579
7,54,42,87,0.483,9,19,0.474,14,19,0.737,17,31,48,21,11,3,11,22,1589
7,55,36,80,0.45,9,19,0.474,18,26,0.692,8,26,34,22,6,2,5,23,1603
7,56,38,83,0.458,10,20,0.5,15,21,0.714,9,29,38,29,5,5,9,21,1598
7,57,36,73,0.493,4,12,0.333,20,29,0.69,1,41,42,25,10,12,20,25,1602
7,58,40,91,0.44,4,16,0.25,11,20,0.55,23,35,58,21,9,4,14,21,1604
7,59,34,71,0.479,8,15,0.533,25,43,0.581,11,39,50,21,4,5,14,23,1611
7,60,32,75,0.427,4,18,0.222,16,25,0.64,16,28,44,17,7,7,22,28,1604
7,61,46,87,0.529,7,21,0.333,18,27,0.667,13,28,41,23,6,9,7,25,1606
7,62,42,92,0.457,4,11,0.364,19,25,0.76,16,36,52,24,13,8,9,19,1616
7,63,37,84,0.44,4,13,0.308,32,48,0.667,16,39,55,20,10,8,17,26,1619
7,64,35,78,0.449,5,9,0.556,23,34,0.676,13,26,39,21,12,5,8,21,1621
